stn,time,pva200m0,tre200mn,tre200m0,hns000m0,rre150m0,ure200mn,ure200m0,hto000m0,ets150m0,gre000m0,prestam0,tre200mx,su2000m0,sremaxmv,fkl010m0,nto000m0,tre005mn
ANT,200001,3.4,-21.5,-7.0,52,89.5,48.0,85.2,86,-,-,-,-,-,-,0.8,45,-
ANT,200002,4.5,-15.5,-2.1,141,126.7,53.0,82.1,110,-,-,-,-,-,-,0.9,62,-
ANT,200003,5.1,-10.7,0.1,122,146.9,42.0,82.3,107,-,-,-,-,-,-,1.2,69,-
ANT,200004,6.1,-7.0,4.1,38,165.4,28.0,75.6,61,-,-,-,-,-,-,1.5,69,-
ANT,200005,9.0,0.9,9.7,0,57.2,40.0,77.0,0,-,-,-,-,-,-,1.7,61,-
ANT,200006,10.4,2.6,12.4,0,84.6,32.0,74.6,0,-,-,-,-,-,-,1.8,51,-
ANT,200007,10.4,1.4,10.6,0,155.8,38.0,80.9,0,-,-,-,-,-,-,1.8,66,-
ANT,200008,11.8,-3.5,13.7,0,123.6,32.0,78.1,0,-,-,-,-,-,-,1.3,46,-
ANT,200009,9.6,1.1,10.0,0,221.6,34.0,78.6,0,-,-,-,-,-,-,1.2,51,-
ANT,200010,7.8,-2.1,6.0,28,269.9,40.0,82.7,0,-,-,-,-,-,-,1.5,65,-
ANT,200011,5.2,-11.0,0.1,190,280.4,45.0,80.8,46,-,-,-,-,-,-,1.3,65,-
ANT,200012,4.5,-13.3,-0.3,41,42.0,23.0,72.5,41,-,-,-,-,-,-,1.4,56,-
ANT,200101,3.8,-16.5,-2.5,99,60.4,34.0,71.6,61,-,-,-,-,-,-,1.3,60,-
ANT,200102,4.3,-15.5,-2.1,125,124.6,44.0,78.7,87,-,-,-,-,-,-,1.2,60,-
ANT,200103,5.7,-11.8,2.4,69,134.1,38.0,79.2,69,-,-,-,-,-,-,1.5,76,-
ANT,200104,5.5,-7.3,1.7,149,161.3,37.0,80.3,12,-,-,-,-,-,-,1.6,75,-
