stn,time,vapor_pressure,t2m_min,t2m_mean,new_snow,precipitation,relative_humidity_min,relative_humidity_mean,snow_depth,evapotranspiration,global_radiation,pressure,t2m_max,sunshine_absolute,sunshine-relative,wind_speed,cloud_cover,t005m_mean,soil_temperature
ANT,2000-01-15,3.4,-21.5,-7,52,89.5,48,85.2,86,NA,NA,NA,NA,NA,NA,0.8,45,NA,NA
ANT,2000-02-15,4.5,-15.5,-2.1,141,126.7,53,82.1,110,NA,NA,NA,NA,NA,NA,0.9,62,NA,NA
ANT,2000-03-15,5.1,-10.7,0.1,122,146.9,42,82.3,107,NA,NA,NA,NA,NA,NA,1.2,69,NA,NA
ANT,2000-04-15,6.1,-7,4.1,38,165.4,28,75.6,61,NA,NA,NA,NA,NA,NA,1.5,69,NA,NA
ANT,2000-05-15,9,0.9,9.7,0,57.2,40,77,0,NA,NA,NA,NA,NA,NA,1.7,61,NA,NA
ANT,2000-06-15,10.4,2.6,12.4,0,84.6,32,74.6,0,NA,NA,NA,NA,NA,NA,1.8,51,NA,NA
ANT,2000-07-15,10.4,1.4,10.6,0,155.8,38,80.9,0,NA,NA,NA,NA,NA,NA,1.8,66,NA,NA
ANT,2000-08-15,11.8,-3.5,13.7,0,123.6,32,78.1,0,NA,NA,NA,NA,NA,NA,1.3,46,NA,NA
ANT,2000-09-15,9.6,1.1,10,0,221.6,34,78.6,0,NA,NA,NA,NA,NA,NA,1.2,51,NA,NA
ANT,2000-10-15,7.8,-2.1,6,28,269.9,40,82.7,0,NA,NA,NA,NA,NA,NA,1.5,65,NA,NA
ANT,2000-11-15,5.2,-11,0.1,190,280.4,45,80.8,46,NA,NA,NA,NA,NA,NA,1.3,65,NA,NA
ANT,2000-12-15,4.5,-13.3,-0.3,41,42,23,72.5,41,NA,NA,NA,NA,NA,NA,1.4,56,NA,NA
ANT,2001-01-15,3.8,-16.5,-2.5,99,60.4,34,71.6,61,NA,NA,NA,NA,NA,NA,1.3,60,NA,NA
ANT,2001-02-15,4.3,-15.5,-2.1,125,124.6,44,78.7,87,NA,NA,NA,NA,NA,NA,1.2,60,NA,NA
ANT,2001-03-15,5.7,-11.8,2.4,69,134.1,38,79.2,69,NA,NA,NA,NA,NA,NA,1.5,76,NA,NA
ANT,2001-04-15,5.5,-7.3,1.7,149,161.3,37,80.3,12,NA,NA,NA,NA,NA,NA,1.6,75,NA,NA
ANT,2001-05-15,9,1.2,9.7,0,57.1,38,76.2,0,NA,NA,NA,NA,NA,NA,1.7,60,NA,NA
ANT,2001-06-15,9.2,-0.2,9.3,13,206.8,27,80.5,0,NA,NA,NA,NA,NA,NA,1.8,55,NA,NA
ANT,2001-07-15,11.5,5.2,12.7,0,174,21,80.1,0,NA,NA,NA,NA,NA,NA,1.3,56,NA,NA
ANT,2001-08-15,12.1,4.5,13.9,0,118.6,30,77.5,0,NA,NA,NA,NA,NA,NA,0.9,55,NA,NA
ANT,2001-09-15,7.8,-1.5,6.6,3,138.9,39,80.2,0,NA,NA,NA,NA,NA,NA,1.1,76,NA,NA
ANT,2001-10-15,8.5,-0.8,9,0,79.6,35,74,0,NA,NA,NA,NA,NA,NA,0.9,44,NA,NA
ANT,2001-11-15,4.9,-9.3,-1.5,94,108.4,41,86,14,NA,NA,NA,NA,NA,NA,0.8,56,NA,NA
ANT,2001-12-15,3.5,-20,-6.9,66,86.2,49,84.7,34,NA,NA,NA,NA,NA,NA,0.8,48,NA,NA
ANT,2002-01-15,3.3,-19.5,-6.4,3,21,45,79.1,54,NA,NA,NA,NA,NA,NA,0.8,28,NA,NA
ANT,2002-02-15,4.7,-14.2,-0.2,141,126,41,78.3,71,NA,NA,NA,NA,NA,NA,0.9,65,NA,NA
ANT,2002-03-15,4.8,-12.5,1.2,60,197.5,30,71.9,67,NA,NA,NA,NA,NA,NA,0.9,48,NA,NA
ANT,2002-04-15,5.8,-7.5,3.7,12,51.2,34,75.7,7,NA,NA,NA,NA,NA,NA,1.1,61,NA,NA
ANT,2002-05-15,7.9,-3,7.2,103,425.4,29,78.6,8,NA,NA,NA,NA,NA,NA,1,69,NA,NA
